id,obligation_id,title,jurisdiction_level,jurisdiction,state,county,city,category,date,frequency,notes,sources,created_at,updated_at
7578,"va-carroll,-virginia-business-license","Carroll, Virginia County Business License",county,Carroll,VA,Carroll,,Business License,2025-12-31,annual,"Business license renewal for Carroll, Virginia County, VA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7579,"va-carroll,-virginia-property-tax","Carroll, Virginia County Property Tax",county,Carroll,VA,Carroll,,Property Tax,2025-12-31,annual,"Property tax assessment for Carroll, Virginia County, VA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5430,"nv-carson-city,-nevada-business-license","Carson City, Nevada County Business License",county,Carson City,NV,Carson City,,Business License,2025-12-31,annual,"Business license renewal for Carson City, Nevada County, NV",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5431,"nv-carson-city,-nevada-property-tax","Carson City, Nevada County Property Tax",county,Carson City,NV,Carson City,,Property Tax,2025-12-31,annual,"Property tax assessment for Carson City, Nevada County, NV",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7014,"tx-carson,-texas-business-license","Carson, Texas County Business License",county,Carson,TX,Carson,,Business License,2025-12-31,annual,"Business license renewal for Carson, Texas County, TX",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7015,"tx-carson,-texas-property-tax","Carson, Texas County Property Tax",county,Carson,TX,Carson,,Property Tax,2025-12-31,annual,"Property tax assessment for Carson, Texas County, TX",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3932,"ky-carter,-kentucky-business-license","Carter, Kentucky County Business License",county,Carter,KY,Carter,,Business License,2025-12-31,annual,"Business license renewal for Carter, Kentucky County, KY",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3933,"ky-carter,-kentucky-property-tax","Carter, Kentucky County Property Tax",county,Carter,KY,Carter,,Property Tax,2025-12-31,annual,"Property tax assessment for Carter, Kentucky County, KY",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4904,"mo-carter,-missouri-business-license","Carter, Missouri County Business License",county,Carter,MO,Carter,,Business License,2025-12-31,annual,"Business license renewal for Carter, Missouri County, MO",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4905,"mo-carter,-missouri-property-tax","Carter, Missouri County Property Tax",county,Carter,MO,Carter,,Property Tax,2025-12-31,annual,"Property tax assessment for Carter, Missouri County, MO",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5110,"mt-carter,-montana-business-license","Carter, Montana County Business License",county,Carter,MT,Carter,,Business License,2025-12-31,annual,"Business license renewal for Carter, Montana County, MT",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5111,"mt-carter,-montana-property-tax","Carter, Montana County Property Tax",county,Carter,MT,Carter,,Property Tax,2025-12-31,annual,"Property tax assessment for Carter, Montana County, MT",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
6184,"ok-carter,-oklahoma-business-license","Carter, Oklahoma County Business License",county,Carter,OK,Carter,,Business License,2025-12-31,annual,"Business license renewal for Carter, Oklahoma County, OK",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
6185,"ok-carter,-oklahoma-property-tax","Carter, Oklahoma County Property Tax",county,Carter,OK,Carter,,Property Tax,2025-12-31,annual,"Property tax assessment for Carter, Oklahoma County, OK",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
6778,"tn-carter,-tennessee-business-license","Carter, Tennessee County Business License",county,Carter,TN,Carter,,Business License,2025-12-31,annual,"Business license renewal for Carter, Tennessee County, TN",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
6779,"tn-carter,-tennessee-property-tax","Carter, Tennessee County Property Tax",county,Carter,TN,Carter,,Property Tax,2025-12-31,annual,"Property tax assessment for Carter, Tennessee County, TN",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5714,"nc-carteret,-north-carolina-business-license","Carteret, North Carolina County Business License",county,Carteret,NC,Carteret,,Business License,2025-12-31,annual,"Business license renewal for Carteret, North Carolina County, NC",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5715,"nc-carteret,-north-carolina-property-tax","Carteret, North Carolina County Property Tax",county,Carteret,NC,Carteret,,Property Tax,2025-12-31,annual,"Property tax assessment for Carteret, North Carolina County, NC",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4550,"mn-carver,-minnesota-business-license","Carver, Minnesota County Business License",county,Carver,MN,Carver,,Business License,2025-12-31,annual,"Business license renewal for Carver, Minnesota County, MN",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4551,"mn-carver,-minnesota-property-tax","Carver, Minnesota County Property Tax",county,Carver,MN,Carver,,Property Tax,2025-12-31,annual,"Property tax assessment for Carver, Minnesota County, MN",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5112,"mt-cascade,-montana-business-license","Cascade, Montana County Business License",county,Cascade,MT,Cascade,,Business License,2025-12-31,annual,"Business license renewal for Cascade, Montana County, MT",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5113,"mt-cascade,-montana-property-tax","Cascade, Montana County Property Tax",county,Cascade,MT,Cascade,,Property Tax,2025-12-31,annual,"Property tax assessment for Cascade, Montana County, MT",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3934,"ky-casey,-kentucky-business-license","Casey, Kentucky County Business License",county,Casey,KY,Casey,,Business License,2025-12-31,annual,"Business license renewal for Casey, Kentucky County, KY",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3935,"ky-casey,-kentucky-property-tax","Casey, Kentucky County Property Tax",county,Casey,KY,Casey,,Property Tax,2025-12-31,annual,"Property tax assessment for Casey, Kentucky County, KY",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3110,"il-cass,-illinois-business-license","Cass, Illinois County Business License",county,Cass,IL,Cass,,Business License,2025-12-31,annual,"Business license renewal for Cass, Illinois County, IL",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3111,"il-cass,-illinois-property-tax","Cass, Illinois County Property Tax",county,Cass,IL,Cass,,Property Tax,2025-12-31,annual,"Property tax assessment for Cass, Illinois County, IL",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3314,"in-cass,-indiana-business-license","Cass, Indiana County Business License",county,Cass,IN,Cass,,Business License,2025-12-31,annual,"Business license renewal for Cass, Indiana County, IN",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3315,"in-cass,-indiana-property-tax","Cass, Indiana County Property Tax",county,Cass,IN,Cass,,Property Tax,2025-12-31,annual,"Property tax assessment for Cass, Indiana County, IN",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3510,"ia-cass,-iowa-business-license","Cass, Iowa County Business License",county,Cass,IA,Cass,,Business License,2025-12-31,annual,"Business license renewal for Cass, Iowa County, IA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3511,"ia-cass,-iowa-property-tax","Cass, Iowa County Property Tax",county,Cass,IA,Cass,,Property Tax,2025-12-31,annual,"Property tax assessment for Cass, Iowa County, IA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4392,"mi-cass,-michigan-business-license","Cass, Michigan County Business License",county,Cass,MI,Cass,,Business License,2025-12-31,annual,"Business license renewal for Cass, Michigan County, MI",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4393,"mi-cass,-michigan-property-tax","Cass, Michigan County Property Tax",county,Cass,MI,Cass,,Property Tax,2025-12-31,annual,"Property tax assessment for Cass, Michigan County, MI",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4552,"mn-cass,-minnesota-business-license","Cass, Minnesota County Business License",county,Cass,MN,Cass,,Business License,2025-12-31,annual,"Business license renewal for Cass, Minnesota County, MN",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4553,"mn-cass,-minnesota-property-tax","Cass, Minnesota County Property Tax",county,Cass,MN,Cass,,Property Tax,2025-12-31,annual,"Property tax assessment for Cass, Minnesota County, MN",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4906,"mo-cass,-missouri-business-license","Cass, Missouri County Business License",county,Cass,MO,Cass,,Business License,2025-12-31,annual,"Business license renewal for Cass, Missouri County, MO",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4907,"mo-cass,-missouri-property-tax","Cass, Missouri County Property Tax",county,Cass,MO,Cass,,Property Tax,2025-12-31,annual,"Property tax assessment for Cass, Missouri County, MO",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5236,"ne-cass,-nebraska-business-license","Cass, Nebraska County Business License",county,Cass,NE,Cass,,Business License,2025-12-31,annual,"Business license renewal for Cass, Nebraska County, NE",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5237,"ne-cass,-nebraska-property-tax","Cass, Nebraska County Property Tax",county,Cass,NE,Cass,,Property Tax,2025-12-31,annual,"Property tax assessment for Cass, Nebraska County, NE",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5900,"nd-cass,-north-dakota-business-license","Cass, North Dakota County Business License",county,Cass,ND,Cass,,Business License,2025-12-31,annual,"Business license renewal for Cass, North Dakota County, ND",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5901,"nd-cass,-north-dakota-property-tax","Cass, North Dakota County Property Tax",county,Cass,ND,Cass,,Property Tax,2025-12-31,annual,"Property tax assessment for Cass, North Dakota County, ND",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7016,"tx-cass,-texas-business-license","Cass, Texas County Business License",county,Cass,TX,Cass,,Business License,2025-12-31,annual,"Business license renewal for Cass, Texas County, TX",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7017,"tx-cass,-texas-property-tax","Cass, Texas County Property Tax",county,Cass,TX,Cass,,Property Tax,2025-12-31,annual,"Property tax assessment for Cass, Texas County, TX",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3036,"id-cassia,-idaho-business-license","Cassia, Idaho County Business License",county,Cassia,ID,Cassia,,Business License,2025-12-31,annual,"Business license renewal for Cassia, Idaho County, ID",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3037,"id-cassia,-idaho-property-tax","Cassia, Idaho County Property Tax",county,Cassia,ID,Cassia,,Property Tax,2025-12-31,annual,"Property tax assessment for Cassia, Idaho County, ID",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7018,"tx-castro,-texas-business-license","Castro, Texas County Business License",county,Castro,TX,Castro,,Business License,2025-12-31,annual,"Business license renewal for Castro, Texas County, TX",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7019,"tx-castro,-texas-property-tax","Castro, Texas County Property Tax",county,Castro,TX,Castro,,Property Tax,2025-12-31,annual,"Property tax assessment for Castro, Texas County, TX",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5716,"nc-caswell,-north-carolina-business-license","Caswell, North Carolina County Business License",county,Caswell,NC,Caswell,,Business License,2025-12-31,annual,"Business license renewal for Caswell, North Carolina County, NC",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5717,"nc-caswell,-north-carolina-property-tax","Caswell, North Carolina County Property Tax",county,Caswell,NC,Caswell,,Property Tax,2025-12-31,annual,"Property tax assessment for Caswell, North Carolina County, NC",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4154,"la-catahoula,-louisiana-business-license","Catahoula, Louisiana County Business License",county,Catahoula,LA,Catahoula,,Business License,2025-12-31,annual,"Business license renewal for Catahoula, Louisiana County, LA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4155,"la-catahoula,-louisiana-property-tax","Catahoula, Louisiana County Property Tax",county,Catahoula,LA,Catahoula,,Property Tax,2025-12-31,annual,"Property tax assessment for Catahoula, Louisiana County, LA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5718,"nc-catawba,-north-carolina-business-license","Catawba, North Carolina County Business License",county,Catawba,NC,Catawba,,Business License,2025-12-31,annual,"Business license renewal for Catawba, North Carolina County, NC",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5719,"nc-catawba,-north-carolina-property-tax","Catawba, North Carolina County Property Tax",county,Catawba,NC,Catawba,,Property Tax,2025-12-31,annual,"Property tax assessment for Catawba, North Carolina County, NC",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
2722,"ga-catoosa,-georgia-business-license","Catoosa, Georgia County Business License",county,Catoosa,GA,Catoosa,,Business License,2025-12-31,annual,"Business license renewal for Catoosa, Georgia County, GA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
2723,"ga-catoosa,-georgia-property-tax","Catoosa, Georgia County Property Tax",county,Catoosa,GA,Catoosa,,Property Tax,2025-12-31,annual,"Property tax assessment for Catoosa, Georgia County, GA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5496,"nm-catron,-new-mexico-business-license","Catron, New Mexico County Business License",county,Catron,NM,Catron,,Business License,2025-12-31,annual,"Business license renewal for Catron, New Mexico County, NM",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5497,"nm-catron,-new-mexico-property-tax","Catron, New Mexico County Property Tax",county,Catron,NM,Catron,,Property Tax,2025-12-31,annual,"Property tax assessment for Catron, New Mexico County, NM",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5568,"ny-cattaraugus,-new-york-business-license","Cattaraugus, New York County Business License",county,Cattaraugus,NY,Cattaraugus,,Business License,2025-12-31,annual,"Business license renewal for Cattaraugus, New York County, NY",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5569,"ny-cattaraugus,-new-york-property-tax","Cattaraugus, New York County Property Tax",county,Cattaraugus,NY,Cattaraugus,,Property Tax,2025-12-31,annual,"Property tax assessment for Cattaraugus, New York County, NY",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5902,"nd-cavalier,-north-dakota-business-license","Cavalier, North Dakota County Business License",county,Cavalier,ND,Cavalier,,Business License,2025-12-31,annual,"Business license renewal for Cavalier, North Dakota County, ND",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5903,"nd-cavalier,-north-dakota-property-tax","Cavalier, North Dakota County Property Tax",county,Cavalier,ND,Cavalier,,Property Tax,2025-12-31,annual,"Property tax assessment for Cavalier, North Dakota County, ND",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5570,"ny-cayuga,-new-york-business-license","Cayuga, New York County Business License",county,Cayuga,NY,Cayuga,,Business License,2025-12-31,annual,"Business license renewal for Cayuga, New York County, NY",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5571,"ny-cayuga,-new-york-property-tax","Cayuga, New York County Property Tax",county,Cayuga,NY,Cayuga,,Property Tax,2025-12-31,annual,"Property tax assessment for Cayuga, New York County, NY",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4302,"md-cecil,-maryland-business-license","Cecil, Maryland County Business License",county,Cecil,MD,Cecil,,Business License,2025-12-31,annual,"Business license renewal for Cecil, Maryland County, MD",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4303,"md-cecil,-maryland-property-tax","Cecil, Maryland County Property Tax",county,Cecil,MD,Cecil,,Property Tax,2025-12-31,annual,"Property tax assessment for Cecil, Maryland County, MD",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3512,"ia-cedar,-iowa-business-license","Cedar, Iowa County Business License",county,Cedar,IA,Cedar,,Business License,2025-12-31,annual,"Business license renewal for Cedar, Iowa County, IA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3513,"ia-cedar,-iowa-property-tax","Cedar, Iowa County Property Tax",county,Cedar,IA,Cedar,,Property Tax,2025-12-31,annual,"Property tax assessment for Cedar, Iowa County, IA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4908,"mo-cedar,-missouri-business-license","Cedar, Missouri County Business License",county,Cedar,MO,Cedar,,Business License,2025-12-31,annual,"Business license renewal for Cedar, Missouri County, MO",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4909,"mo-cedar,-missouri-property-tax","Cedar, Missouri County Property Tax",county,Cedar,MO,Cedar,,Property Tax,2025-12-31,annual,"Property tax assessment for Cedar, Missouri County, MO",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5238,"ne-cedar,-nebraska-business-license","Cedar, Nebraska County Business License",county,Cedar,NE,Cedar,,Business License,2025-12-31,annual,"Business license renewal for Cedar, Nebraska County, NE",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5239,"ne-cedar,-nebraska-property-tax","Cedar, Nebraska County Property Tax",county,Cedar,NE,Cedar,,Property Tax,2025-12-31,annual,"Property tax assessment for Cedar, Nebraska County, NE",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
6418,"pa-centre,-pennsylvania-business-license","Centre, Pennsylvania County Business License",county,Centre,PA,Centre,,Business License,2025-12-31,annual,"Business license renewal for Centre, Pennsylvania County, PA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
6419,"pa-centre,-pennsylvania-property-tax","Centre, Pennsylvania County Property Tax",county,Centre,PA,Centre,,Property Tax,2025-12-31,annual,"Property tax assessment for Centre, Pennsylvania County, PA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3514,"ia-cerro-gordo,-iowa-business-license","Cerro Gordo, Iowa County Business License",county,Cerro Gordo,IA,Cerro Gordo,,Business License,2025-12-31,annual,"Business license renewal for Cerro Gordo, Iowa County, IA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3515,"ia-cerro-gordo,-iowa-property-tax","Cerro Gordo, Iowa County Property Tax",county,Cerro Gordo,IA,Cerro Gordo,,Property Tax,2025-12-31,annual,"Property tax assessment for Cerro Gordo, Iowa County, IA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
2410,"co-chaffee,-colorado-business-license","Chaffee, Colorado County Business License",county,Chaffee,CO,Chaffee,,Business License,2025-12-31,annual,"Business license renewal for Chaffee, Colorado County, CO",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
2411,"co-chaffee,-colorado-property-tax","Chaffee, Colorado County Property Tax",county,Chaffee,CO,Chaffee,,Property Tax,2025-12-31,annual,"Property tax assessment for Chaffee, Colorado County, CO",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
1920,"al-chambers,-alabama-business-license","Chambers, Alabama County Business License",county,Chambers,AL,Chambers,,Business License,2025-12-31,annual,"Business license renewal for Chambers, Alabama County, AL",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
1921,"al-chambers,-alabama-property-tax","Chambers, Alabama County Property Tax",county,Chambers,AL,Chambers,,Property Tax,2025-12-31,annual,"Property tax assessment for Chambers, Alabama County, AL",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7020,"tx-chambers,-texas-business-license","Chambers, Texas County Business License",county,Chambers,TX,Chambers,,Business License,2025-12-31,annual,"Business license renewal for Chambers, Texas County, TX",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7021,"tx-chambers,-texas-property-tax","Chambers, Texas County Property Tax",county,Chambers,TX,Chambers,,Property Tax,2025-12-31,annual,"Property tax assessment for Chambers, Texas County, TX",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3112,"il-champaign,-illinois-business-license","Champaign, Illinois County Business License",county,Champaign,IL,Champaign,,Business License,2025-12-31,annual,"Business license renewal for Champaign, Illinois County, IL",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3113,"il-champaign,-illinois-property-tax","Champaign, Illinois County Property Tax",county,Champaign,IL,Champaign,,Property Tax,2025-12-31,annual,"Property tax assessment for Champaign, Illinois County, IL",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
6010,"oh-champaign,-ohio-business-license","Champaign, Ohio County Business License",county,Champaign,OH,Champaign,,Business License,2025-12-31,annual,"Business license renewal for Champaign, Ohio County, OH",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
6011,"oh-champaign,-ohio-property-tax","Champaign, Ohio County Property Tax",county,Champaign,OH,Champaign,,Property Tax,2025-12-31,annual,"Property tax assessment for Champaign, Ohio County, OH",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4910,"mo-chariton,-missouri-business-license","Chariton, Missouri County Business License",county,Chariton,MO,Chariton,,Business License,2025-12-31,annual,"Business license renewal for Chariton, Missouri County, MO",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4911,"mo-chariton,-missouri-property-tax","Chariton, Missouri County Property Tax",county,Chariton,MO,Chariton,,Property Tax,2025-12-31,annual,"Property tax assessment for Chariton, Missouri County, MO",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7580,"va-charles-city,-virginia-business-license","Charles City, Virginia County Business License",county,Charles City,VA,Charles City,,Business License,2025-12-31,annual,"Business license renewal for Charles City, Virginia County, VA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7581,"va-charles-city,-virginia-property-tax","Charles City, Virginia County Property Tax",county,Charles City,VA,Charles City,,Property Tax,2025-12-31,annual,"Property tax assessment for Charles City, Virginia County, VA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
6648,"sd-charles-mix,-south-dakota-business-license","Charles Mix, South Dakota County Business License",county,Charles Mix,SD,Charles Mix,,Business License,2025-12-31,annual,"Business license renewal for Charles Mix, South Dakota County, SD",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
6649,"sd-charles-mix,-south-dakota-property-tax","Charles Mix, South Dakota County Property Tax",county,Charles Mix,SD,Charles Mix,,Property Tax,2025-12-31,annual,"Property tax assessment for Charles Mix, South Dakota County, SD",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4304,"md-charles,-maryland-business-license","Charles, Maryland County Business License",county,Charles,MD,Charles,,Business License,2025-12-31,annual,"Business license renewal for Charles, Maryland County, MD",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4305,"md-charles,-maryland-property-tax","Charles, Maryland County Property Tax",county,Charles,MD,Charles,,Property Tax,2025-12-31,annual,"Property tax assessment for Charles, Maryland County, MD",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
6554,"sc-charleston,-south-carolina-business-license","Charleston, South Carolina County Business License",county,Charleston,SC,Charleston,,Business License,2025-12-31,annual,"Business license renewal for Charleston, South Carolina County, SC",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
6555,"sc-charleston,-south-carolina-property-tax","Charleston, South Carolina County Property Tax",county,Charleston,SC,Charleston,,Property Tax,2025-12-31,annual,"Property tax assessment for Charleston, South Carolina County, SC",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4394,"mi-charlevoix,-michigan-business-license","Charlevoix, Michigan County Business License",county,Charlevoix,MI,Charlevoix,,Business License,2025-12-31,annual,"Business license renewal for Charlevoix, Michigan County, MI",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
4395,"mi-charlevoix,-michigan-property-tax","Charlevoix, Michigan County Property Tax",county,Charlevoix,MI,Charlevoix,,Property Tax,2025-12-31,annual,"Property tax assessment for Charlevoix, Michigan County, MI",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
2558,"fl-charlotte,-florida-business-license","Charlotte, Florida County Business License",county,Charlotte,FL,Charlotte,,Business License,2025-12-31,annual,"Business license renewal for Charlotte, Florida County, FL",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
2559,"fl-charlotte,-florida-property-tax","Charlotte, Florida County Property Tax",county,Charlotte,FL,Charlotte,,Property Tax,2025-12-31,annual,"Property tax assessment for Charlotte, Florida County, FL",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7582,"va-charlotte,-virginia-business-license","Charlotte, Virginia County Business License",county,Charlotte,VA,Charlotte,,Business License,2025-12-31,annual,"Business license renewal for Charlotte, Virginia County, VA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7583,"va-charlotte,-virginia-property-tax","Charlotte, Virginia County Property Tax",county,Charlotte,VA,Charlotte,,Property Tax,2025-12-31,annual,"Property tax assessment for Charlotte, Virginia County, VA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7740,"va-charlottesville-city,-virginia-business-license","Charlottesville city, Virginia County Business License",county,Charlottesville city,VA,Charlottesville city,,Business License,2025-12-31,annual,"Business license renewal for Charlottesville city, Virginia County, VA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
7741,"va-charlottesville-city,-virginia-property-tax","Charlottesville city, Virginia County Property Tax",county,Charlottesville city,VA,Charlottesville city,,Property Tax,2025-12-31,annual,"Property tax assessment for Charlottesville city, Virginia County, VA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
2724,"ga-charlton,-georgia-business-license","Charlton, Georgia County Business License",county,Charlton,GA,Charlton,,Business License,2025-12-31,annual,"Business license renewal for Charlton, Georgia County, GA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
2725,"ga-charlton,-georgia-property-tax","Charlton, Georgia County Property Tax",county,Charlton,GA,Charlton,,Property Tax,2025-12-31,annual,"Property tax assessment for Charlton, Georgia County, GA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3696,"ks-chase,-kansas-business-license","Chase, Kansas County Business License",county,Chase,KS,Chase,,Business License,2025-12-31,annual,"Business license renewal for Chase, Kansas County, KS",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
3697,"ks-chase,-kansas-property-tax","Chase, Kansas County Property Tax",county,Chase,KS,Chase,,Property Tax,2025-12-31,annual,"Property tax assessment for Chase, Kansas County, KS",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5240,"ne-chase,-nebraska-business-license","Chase, Nebraska County Business License",county,Chase,NE,Chase,,Business License,2025-12-31,annual,"Business license renewal for Chase, Nebraska County, NE",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5241,"ne-chase,-nebraska-property-tax","Chase, Nebraska County Property Tax",county,Chase,NE,Chase,,Property Tax,2025-12-31,annual,"Property tax assessment for Chase, Nebraska County, NE",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
2726,"ga-chatham,-georgia-business-license","Chatham, Georgia County Business License",county,Chatham,GA,Chatham,,Business License,2025-12-31,annual,"Business license renewal for Chatham, Georgia County, GA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
2727,"ga-chatham,-georgia-property-tax","Chatham, Georgia County Property Tax",county,Chatham,GA,Chatham,,Property Tax,2025-12-31,annual,"Property tax assessment for Chatham, Georgia County, GA",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5720,"nc-chatham,-north-carolina-business-license","Chatham, North Carolina County Business License",county,Chatham,NC,Chatham,,Business License,2025-12-31,annual,"Business license renewal for Chatham, North Carolina County, NC",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
5721,"nc-chatham,-north-carolina-property-tax","Chatham, North Carolina County Property Tax",county,Chatham,NC,Chatham,,Property Tax,2025-12-31,annual,"Property tax assessment for Chatham, North Carolina County, NC",{},2025-09-30 15:19:41.616668,2025-09-30 15:19:41.616668
